text_a,text_b,score,label_type
ลิฟต์โดยสาร คณะพยาบาลศาสตร์ ค้างที่ชั้น 7 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกพยาบาล เสีย ติดค้างอยู่ที่ชั้น 7 กดปุ่มเปิดไม่ไป,0.9367,DUPLICATE
ก๊อกน้ำและท่อประปาที่ โรงอาหารกลาง ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0564,DIFFERENT
ลิฟต์โดยสาร ประตู 1 ม.พะเยา ค้างที่ชั้น 2 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ประตูหน้ามอ เสีย ติดค้างอยู่ที่ชั้น 2 กดปุ่มเปิดไม่ไป,0.9429,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง คณะวิทยาศาสตร์,หมาจรจัดตรง ตึกวิทย์ ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9292,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะเภสัชศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกเภสัช รถผ่านไม่ได้ การจราจรติดขัด,0.9471,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง ประตู 1 ม.พะเยา,หมาจรจัดตรง ประตูหน้ามอ ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9331,DUPLICATE
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร คณะแพทยศาสตร์ มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0007,DIFFERENT
แอร์ห้อง 1402 คณะศิลปศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 1 คณะศิลปศาสตร์ แตก น้ำนองพื้น,0.0763,DIFFERENT
หลอดไฟทางเดินหน้า ประตู 1 ม.พะเยา ดับสนิท มืดมาก,ถังขยะหน้า ประตู 1 ม.พะเยา ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.073,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ตึก EN ค้างที่ชั้น 6 ใช้งานไม่ได้,0.0185,DIFFERENT
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9583,DUPLICATE
หลอดไฟทางเดินหน้า คณะเกษตรศาสตร์ ดับสนิท มืดมาก,ถังขยะหน้า คณะเกษตรศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0896,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi หอพักลุมพินี หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ หอพักใน มพ. ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.961,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก EN,0.0335,DIFFERENT
ลิฟต์โดยสาร คณะแพทยศาสตร์ ค้างที่ชั้น 8 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกแพทย์ เสีย ติดค้างอยู่ที่ชั้น 8 กดปุ่มเปิดไม่ไป,0.9533,DUPLICATE
สัญญาณเน็ต UP-WiFi ตึก CE หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ตึก CE,0.0508,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะพยาบาลศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกพยาบาล รถผ่านไม่ได้ การจราจรติดขัด,0.9486,DUPLICATE
คนขับรถชัตเติลบัสสาย 2 (สีเขียว) ขับเร็วและเบรกกระชากแรงมากตรง คณะศิลปศาสตร์,รถเมล์ มพ. สาย 2 (สีเขียว) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ตึกศิลปศาสตร์,0.9313,DUPLICATE
แอร์ห้อง 2103 คณะวิทยาศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 2103 ตึกวิทย์ น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.957,DUPLICATE
เครื่องปรับอากาศห้อง 1201 คณะศิลปศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3304 คณะศิลปศาสตร์ เสีย ไม่เย็น,0.162,DIFFERENT
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด ตึก PKY,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ อาคารสงวนเสริมศรี,0.9503,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง คณะเกษตรศาสตร์,หมาจรจัดตรง ตึกเกษตร ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9598,DUPLICATE
รถเมล์มอสาย 1 (สีม่วง) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย คณะแพทยศาสตร์,รอรถบัส มพ. สาย 1 (สีม่วง) ที่ ตึกแพทย์ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9593,DUPLICATE
ก๊อกน้ำและท่อประปาที่ โรงอาหารสงวนเสริมศรี ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0638,DIFFERENT
ถังขยะหน้า คณะศิลปศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกศิลปศาสตร์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9603,DUPLICATE
เครื่องปรับอากาศห้อง 1403 คณะนิติศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3202 คณะนิติศาสตร์ เสีย ไม่เย็น,0.1586,DIFFERENT
ไฟในห้องน้ำหญิง คณะนิติศาสตร์ ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ตึกนิติศาสตร์ ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9645,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะวิทยาศาสตร์,0.0,DIFFERENT
เครื่องปรับอากาศห้อง 1203 คณะศิลปศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3201 คณะศิลปศาสตร์ เสีย ไม่เย็น,0.1519,DIFFERENT
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง กองพัฒนานิสิต DSA,หมาจรจัดตรง ตึกกิจกรรมนิสิต DSA ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9377,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง ทางเดิน Skywalk รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ สะพานสกายวอล์ค รถผ่านไม่ได้ การจราจรติดขัด,0.9469,DUPLICATE
ก๊อกน้ำและท่อประปาที่ ตึก PKY ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0596,DIFFERENT
ลิฟต์โดยสาร ป้ายหอพักใน ค้างที่ชั้น 1 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ป้ายรอรถหอใน มพ. เสีย ติดค้างอยู่ที่ชั้น 1 กดปุ่มเปิดไม่ไป,0.9526,DUPLICATE
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ คณะพยาบาลศาสตร์,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกพยาบาล สกปรกมาก ไม่ถูกสุขอนามัย,0.9544,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9541,DUPLICATE
แอร์ห้อง 4303 คณะนิติศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 4303 ตึกนิติศาสตร์ น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.9774,DUPLICATE
แอร์ห้อง 2101 คณะวิทยาศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 6 คณะวิทยาศาสตร์ แตก น้ำนองพื้น,0.0597,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก ICT,0.0244,DIFFERENT
คนขับรถชัตเติลบัสสาย 2 (สีเขียว) ขับเร็วและเบรกกระชากแรงมากตรง ป้ายรถเมล์หน้า ม.,รถเมล์ มพ. สาย 2 (สีเขียว) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา,0.9508,DUPLICATE
สัญญาณเน็ต UP-WiFi โรงอาหารกลาง หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง โรงอาหารกลาง,0.0297,DIFFERENT
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9286,DUPLICATE
ไฟในห้องน้ำหญิง คณะแพทยศาสตร์ ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ตึกแพทย์ ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9632,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก EN,0.0283,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ โรงอาหารกลาง,0.007,DIFFERENT
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง ป้ายหอพักใน,หมาจรจัดตรง ป้ายรอรถหอใน มพ. ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9317,DUPLICATE
โปรเจกเตอร์ห้อง 1202 คณะวิทยาศาสตร์ เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 1202 ตึกวิทย์ พัง จอภาพมืดสนิท,0.9749,DUPLICATE
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด หอพักลุมพินี,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ หอพักใน มพ.,0.9642,DUPLICATE
สัญญาณเน็ต UP-WiFi ป้ายหอพักใน หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ป้ายหอพักใน,0.0443,DIFFERENT
หลอดไฟทางเดินหน้า ป้ายรถเมล์หน้า ม. ดับสนิท มืดมาก,ถังขยะหน้า ป้ายรถเมล์หน้า ม. ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.1097,DIFFERENT
รถเมล์มอสาย 4 (สีน้ำเงิน) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย คณะนิติศาสตร์,รอรถบัส มพ. สาย 4 (สีน้ำเงิน) ที่ ตึกนิติศาสตร์ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9261,DUPLICATE
ลิฟต์โดยสาร ตึก EN ค้างที่ชั้น 3 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ อาคารคณะวิศวกรรมศาสตร์ เสีย ติดค้างอยู่ที่ชั้น 3 กดปุ่มเปิดไม่ไป,0.9783,DUPLICATE
หลอดไฟทางเดินหน้า กองพัฒนานิสิต DSA ดับสนิท มืดมาก,ถังขยะหน้า กองพัฒนานิสิต DSA ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.105,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ป้ายรถเมล์หน้า ม. ค้างที่ชั้น 5 ใช้งานไม่ได้,0.0219,DIFFERENT
แอร์ห้อง 2203 คณะพยาบาลศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 6 คณะพยาบาลศาสตร์ แตก น้ำนองพื้น,0.031,DIFFERENT
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ ป้ายรถเมล์หน้า ม.,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา สกปรกมาก ไม่ถูกสุขอนามัย,0.9957,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง ป้ายหอพักใน รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ป้ายรอรถหอใน มพ. รถผ่านไม่ได้ การจราจรติดขัด,0.9604,DUPLICATE
คนขับรถชัตเติลบัสสาย 2 (สีเขียว) ขับเร็วและเบรกกระชากแรงมากตรง คณะนิติศาสตร์,รถเมล์ มพ. สาย 2 (สีเขียว) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ตึกนิติศาสตร์,0.9373,DUPLICATE
ไฟในห้องน้ำหญิง กองพัฒนานิสิต DSA ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ตึกกิจกรรมนิสิต DSA ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.986,DUPLICATE
โปรเจกเตอร์ห้อง 4301 ตึก CE เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 4301 อาคารเรียนรวม CE พัง จอภาพมืดสนิท,0.9361,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ป้ายหอพักใน,0.0379,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi หอพักลุมพินี หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ หอพักใน มพ. ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9701,DUPLICATE
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ทางเดิน Skywalk มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.043,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง ตึก EN รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ อาคารคณะวิศวกรรมศาสตร์ รถผ่านไม่ได้ การจราจรติดขัด,0.9347,DUPLICATE
หลอดไฟทางเดินหน้า โรงอาหารสงวนเสริมศรี ดับสนิท มืดมาก,ถังขยะหน้า โรงอาหารสงวนเสริมศรี ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.075,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ตึก ICT ค้างที่ชั้น 1 ใช้งานไม่ได้,0.0285,DIFFERENT
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด หอพักลุมพินี,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ หอพักใน มพ.,0.9615,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะแพทยศาสตร์,0.0119,DIFFERENT
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง ตึก PKY,หมาจรจัดตรง อาคารสงวนเสริมศรี ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9618,DUPLICATE
เครื่องปรับอากาศห้อง 1303 ตึก EN เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3202 ตึก EN เสีย ไม่เย็น,0.1789,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง โรงอาหารสงวนเสริมศรี รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ โรงอาหาร PKY รถผ่านไม่ได้ การจราจรติดขัด,0.9793,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง คณะนิติศาสตร์,หมาจรจัดตรง ตึกนิติศาสตร์ ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9326,DUPLICATE
สายชำระและก๊อกน้ำห้องน้ำชั้น 3 ตึก PKY แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 3 อาคารสงวนเสริมศรี,0.9306,DUPLICATE
แอร์ห้อง 3402 คณะนิติศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 5 คณะนิติศาสตร์ แตก น้ำนองพื้น,0.0643,DIFFERENT
ก๊อกน้ำและท่อประปาที่ โรงอาหารสงวนเสริมศรี ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0483,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi หอพักลุมพินี หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ หอพักใน มพ. ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9727,DUPLICATE
ลิฟต์โดยสาร คณะพยาบาลศาสตร์ ค้างที่ชั้น 4 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกพยาบาล เสีย ติดค้างอยู่ที่ชั้น 4 กดปุ่มเปิดไม่ไป,0.9424,DUPLICATE
รถเมล์มอสาย 3 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ตึก PKY มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.004,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi หอพักลุมพินี หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ หอพักใน มพ. ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.988,DUPLICATE
หลอดไฟทางเดินหน้า คณะพยาบาลศาสตร์ ดับสนิท มืดมาก,ถังขยะหน้า คณะพยาบาลศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0671,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 2 ทางเดิน Skywalk แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 2 สะพานสกายวอล์ค,0.9222,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9353,DUPLICATE
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด โรงอาหารสงวนเสริมศรี,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ โรงอาหาร PKY,0.9362,DUPLICATE
คนขับรถชัตเติลบัสสาย 1 (สีม่วง) ขับเร็วและเบรกกระชากแรงมากตรง คณะเภสัชศาสตร์,รถเมล์ มพ. สาย 1 (สีม่วง) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ตึกเภสัช,0.9104,DUPLICATE
สายชำระและก๊อกน้ำห้องน้ำชั้น 4 ป้ายรถเมล์หน้า ม. แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 4 ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา,0.9212,DUPLICATE
สัญญาณเน็ต UP-WiFi ทางเดิน Skywalk หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ทางเดิน Skywalk,0.0552,DIFFERENT
สัญญาณเน็ต UP-WiFi คณะนิติศาสตร์ หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง คณะนิติศาสตร์,0.0341,DIFFERENT
ลิฟต์โดยสาร คณะนิติศาสตร์ ค้างที่ชั้น 5 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกนิติศาสตร์ เสีย ติดค้างอยู่ที่ชั้น 5 กดปุ่มเปิดไม่ไป,0.9688,DUPLICATE
สายชำระและก๊อกน้ำห้องน้ำชั้น 2 ตึก ICT แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 2 อาคารเทคโนโลยีสารสนเทศและการสื่อสาร,0.9261,DUPLICATE
โปรเจกเตอร์ห้อง 4204 คณะพยาบาลศาสตร์ เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 4204 ตึกพยาบาล พัง จอภาพมืดสนิท,0.9658,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง คณะเภสัชศาสตร์,หมาจรจัดตรง ตึกเภสัช ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9614,DUPLICATE
คนขับรถชัตเติลบัสสาย 3 (สีแดง) ขับเร็วและเบรกกระชากแรงมากตรง คณะแพทยศาสตร์,รถเมล์ มพ. สาย 3 (สีแดง) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ตึกแพทย์,0.9156,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9536,DUPLICATE
สัญญาณอินเทอร์เน็ต UP-WiFi ตึก EN หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ อาคารคณะวิศวกรรมศาสตร์ ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9829,DUPLICATE
รถเมล์มอสาย 3 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร คณะแพทยศาสตร์ มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0118,DIFFERENT
ไฟในห้องน้ำหญิง คณะเภสัชศาสตร์ ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ตึกเภสัช ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9835,DUPLICATE
รถเมล์มอสาย 1 (สีม่วง) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย ประตู 1 ม.พะเยา,รอรถบัส มพ. สาย 1 (สีม่วง) ที่ ประตูหน้ามอ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.923,DUPLICATE
โปรเจกเตอร์ห้อง 3303 คณะนิติศาสตร์ เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 3303 ตึกนิติศาสตร์ พัง จอภาพมืดสนิท,0.9293,DUPLICATE
แอร์ห้อง 4403 คณะเกษตรศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 1 คณะเกษตรศาสตร์ แตก น้ำนองพื้น,0.0323,DIFFERENT
รถเมล์มอสาย 2 (สีเขียว) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย ป้ายหอพักใน,รอรถบัส มพ. สาย 2 (สีเขียว) ที่ ป้ายรอรถหอใน มพ. นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9795,DUPLICATE
ถังขยะหน้า ตึก ICT ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ อาคารเทคโนโลยีสารสนเทศและการสื่อสาร เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9518,DUPLICATE
สายชำระและก๊อกน้ำห้องน้ำชั้น 8 ป้ายรถเมล์หน้า ม. แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 8 ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา,0.9464,DUPLICATE
เครื่องปรับอากาศห้อง 1303 ตึก CE เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3303 ตึก CE เสีย ไม่เย็น,0.1744,DIFFERENT
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9612,DUPLICATE
แอร์ห้อง 4402 ประตู 1 ม.พะเยา มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 4402 ประตูหน้ามอ น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.9353,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.94,DUPLICATE
หลอดไฟทางเดินหน้า โรงอาหารกลาง ดับสนิท มืดมาก,ถังขยะหน้า โรงอาหารกลาง ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0869,DIFFERENT
